Date,Quantity,Revenue,DayOfWeek,Month,Quarter,Year,Lag_1,Lag_7,Rolling_7,Forecast_Demand,Current_Stock,Inventory_Demand_Gap,Stock_Coverage_Days,Risk,Recommendation,Inventory_Assumption
2010-11-10,35184,79992.41,2,11,4,2010,35361.0,24166.0,30958.14285714286,35184,46437.0,11253.0,1.32,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-11,34397,64114.18,3,11,4,2010,35184.0,23637.0,32532.14285714286,34397,48798.0,14401.0,1.42,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-12,23217,50806.23,4,11,4,2010,34397.0,60269.0,34069.28571428572,23217,51104.0,27887.0,2.2,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-14,17295,28950.46,6,11,4,2010,23217.0,22449.0,28776.14285714286,17295,43164.0,25869.0,2.5,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-15,37969,104910.96,0,11,4,2010,17295.0,18428.0,28039.85714285714,37969,42060.0,4091.0,1.11,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-16,39307,72858.71,1,11,4,2010,37969.0,32397.0,30831.428571428572,39307,46247.0,6940.0,1.18,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-17,28549,51468.871,2,11,4,2010,39307.0,35361.0,31818.571428571428,28549,47728.0,19179.0,1.67,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-18,21366,44906.07,3,11,4,2010,28549.0,35184.0,30845.428571428572,21366,46268.0,24902.0,2.17,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-19,25313,47814.41,4,11,4,2010,21366.0,34397.0,28871.428571428572,25313,43307.0,17994.0,1.71,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-21,17985,32056.05,6,11,4,2010,25313.0,23217.0,27573.714285714286,17985,41361.0,23376.0,2.3,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-22,19775,43155.91,0,11,4,2010,17985.0,17295.0,26826.285714285714,19775,40239.0,20464.0,2.03,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-23,26947,58356.99,1,11,4,2010,19775.0,37969.0,27180.571428571428,26947,40771.0,13824.0,1.51,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-24,28754,61666.06,2,11,4,2010,26947.0,39307.0,25606.0,28754,38409.0,9655.0,1.34,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-25,38054,72282.86,3,11,4,2010,28754.0,28549.0,24098.428571428572,38054,36148.0,-1906.0,0.95,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-26,17394,40403.51,4,11,4,2010,38054.0,21366.0,25456.285714285714,17394,38184.0,20790.0,2.2,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-28,16298,27132.760000000002,6,11,4,2010,17394.0,25313.0,24888.85714285714,16298,37333.0,21035.0,2.29,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-29,39991,79083.96,0,11,4,2010,16298.0,17985.0,23601.0,39991,35402.0,-4589.0,0.89,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-30,26532,59878.74,1,11,4,2010,39991.0,19775.0,26744.714285714286,26532,40117.0,13585.0,1.51,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-12-01,26818,58776.79,2,12,4,2010,26532.0,26947.0,27710.0,26818,41565.0,14747.0,1.55,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-12-02,31264,47629.42,3,12,4,2010,26818.0,28754.0,27691.571428571428,31264,41537.0,10273.0,1.33,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-12-03,16158,46898.63,4,12,4,2010,31264.0,38054.0,28050.14285714286,16158,42075.0,25917.0,2.6,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-12-05,16242,31364.63,6,12,4,2010,16158.0,17394.0,24922.14285714286,16242,37383.0,21141.0,2.3,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-12-06,21619,54624.15,0,12,4,2010,16242.0,16298.0,24757.571428571428,21619,37136.0,15517.0,1.72,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-12-07,25180,99553.85,1,12,4,2010,21619.0,39991.0,25517.714285714286,25180,38277.0,13097.0,1.52,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-12-08,23041,45235.36,2,12,4,2010,25180.0,26532.0,23401.85714285714,23041,35103.0,12062.0,1.52,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-12-09,19898,53548.19,3,12,4,2010,23041.0,26818.0,22903.14285714286,19898,34355.0,14457.0,1.73,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
